addr_1v_reg,
addr_2v_reg,
addr_3v_reg,
ok_to_wr,
isand,
isxor,
addr_1v_xor_reg,
addr_2v_xor_reg,
addr_3v_xor_reg,
gc_xor_en_reg,
gc_xor_en_reg1,
and_gt_id_reg,
gc_rst_done,
comp_done_reg,
addr_new,
reg_cnt,
gc_done,
gc_done_and,
gc_res,
read_in,
data1_rd,
data2_rd,
r_input,
and_id_input,
cyp_and0_2,
cyp_and0_3,
cyp_and0_4,
ready_comp,
gc_clrn,
new_sig_vld,
new_sig_vld_xor,
gc_and_en_reg,
gc_and_en_reg1,
reg_clr,
layer_cnt,
layer_num_reg,
xor_gt_id_reg,
state,
cache_reg,
address_sig,
data_sig,
wren_sig,
q_sig,
